region,per capita,formal wage,child mortality,disabled,alco (2018),drug (2018),grp,living area,bad conditions,no funds,illness (2016),anomalies (2016),psychosis (2016),pregnancy (2016),newborn,population,poverty %,children,retired,employable,children %,retired %,regional production,retail,living wage
Рязанская область,27312.0,36459.0,46.0,130493.0,51.1,17.2,412845.1,19.0,0.3,0.138,70384.8,298.4,427.7,0.0,8701,1108847.0,12.8,37.0,3.3,59.7,17.74951819322233,29.7,707304.785781988,196393,11643.0
Самарская область,29893.0,38748.0,130.0,209505.0,49.4,12.1,505093.4,16.9,0.8,0.71,97537.6,325.3,446.7,5.6,27983,3179532.0,12.3,36.9,9.5,53.6,19.368636642122176,26.6,973509.8581992569,213032,12151.0
Санкт-Петербург,49207.0,68667.0,191.0,572401.0,14.7,9.4,971158.0,15.7,0.1,0.4815,101498.4,254.5,403.5,11.8,55439,5398064.0,5.9,,,,17.544049125760644,26.4,1065465.9800624815,283494,13074.0
Саратовская область,24046.0,33545.0,61.0,135895.0,48.6,5.7,358480.4,17.8,2.2,0.4921000000000001,74819.3,475.0,466.6,1.8,18643,2421895.0,14.8,39.0,2.5,58.5,18.628883580832365,27.3,470428.58633425477,164665,10409.0
Сахалинская область,60770.0,92518.0,25.0,21626.0,106.1,18.4,2059206.5,17.2,0.6,0.0,83995.5,214.2,496.0,31.3,5591,488257.0,7.7,,,,21.863281017988477,22.7,3366523.3820713274,338787,17178.0
Свердловская область,37374.0,43256.0,182.0,272579.0,50.2,12.9,588270.0,15.8,0.9,0.7248,75208.5,96.5,436.4,11.4,43991,4310681.0,9.0,46.3,2.2,51.5,21.743177006138936,25.2,1154113.3213847186,259875,11550.0
Севастополь,29957.0,36300.0,15.0,20372.0,90,25.4,295304.9,13.7,1.2,0.0,52350.6,146.8,367.3,23.4,4225,449138.0,11.0,,,,19.10838094305091,26.1,119197.87570857955,141383,12201.0
Смоленская область,28152.0,33139.0,39.0,74313.0,72.4,7.1,386274.8,19.4,2.8,0.0,72034.9,321.6,262.8,0.0,6554,934889.0,15.6,34.7,12.0,53.3,17.422389182031235,28.0,618954.6908777405,186156,11572.0
Ставропольский край,23911.0,33877.0,138.0,211291.0,23.6,4,308476.2,19.0,0.9,0.2916000000000001,59172.3,190.5,246.4,11.2,27487,2803573.0,13.8,39.2,1.9,58.9,20.92968508399817,24.0,285388.12458245247,185994,10464.0
Тамбовская область,27889.0,31063.0,24.0,108693.0,45,5.1,378455.8,19.7,0.6,1.0404,64949.8,124.6,475.7,4.5,7433,1006748.0,10.8,33.5,7.6,58.9,16.9300559822319,30.3,412539.0868221244,198282,10998.0
Тверская область,27681.0,36077.0,45.0,96974.0,41,5,391722.2,17.5,2.2,1.8876000000000004,86566.6,180.7,729.8,0.0,10075,1260379.0,11.4,31.0,3.8,65.1,18.71294269422134,28.9,704410.0229375449,199736,12041.0
